,period1,period2,entryfilter1,entryfilter2,closefilter1,closefilter2,mutation,profit,probability
47,1.0,8.0,0.030929892878631404,0.09241818412432434,-0.07769583538755748,0.014119586846703516,0.5728674134167872,-2.1023168301424886,0.06006006006006006
48,1.0,8.0,0.037165550307670936,0.04716932256939174,-0.0869719424459178,0.017039941341582238,0.14185676897570487,-2.096022974753192,
49,1.0,8.0,0.0978412643602091,0.043942843007154564,-0.0869719424459178,0.020737809118452716,0.5478709970265497,-2.074355478916708,
50,1.0,8.0,0.006517732897504208,-0.018731148071859494,0.00131080262546171,0.02044301326367723,0.15909018841937916,-1.9897736798924486,
51,1.0,8.0,-0.011350853531313668,0.08837796381486013,-0.09869195052403588,0.011788890796761958,0.38998353272088515,-1.8012103111775783,
52,1.0,8.0,-0.010495418963237538,-0.03167608856268134,0.027031020218713897,0.0833701883029648,0.42822388995577987,-1.6892154403771418,
53,1.0,8.0,-0.01397205578697247,0.030490221963054148,-0.09114733817399193,0.014475732408732872,0.17370027874440364,-1.6777924764504732,
54,1.0,8.0,0.03748160001482512,-0.01887902007418585,-0.02554793841163193,0.011350923274023872,0.14971818515039437,-1.673765875793853,
55,1.0,8.0,0.06859596357678363,-0.016913806091211916,-0.033476232564240954,0.017039941341582238,0.4283953497822309,-1.671318187387454,
56,1.0,8.0,-0.01397205578697247,0.08281834892925849,-0.0749383814437826,0.014475732408732872,0.24664943492777036,-1.6501305474050032,0.07207207207207207
57,1.0,8.0,-0.005915878143250897,0.074405586990999,-0.09575615987390468,0.02044301326367723,0.6224197456501186,-1.6016393240181643,
58,1.0,8.0,0.0361177141571416,-0.012768774940310923,-0.0782194231595917,-0.022202553846835532,0.2921490783899665,-1.5697840699698562,
59,1.0,8.0,0.05779058855710012,-7.747003629317295e-05,-0.08933633168914311,0.0007752762605728047,0.11125408066100273,-1.528938298511958,
60,1.0,8.0,-0.013292727993313047,0.07874258899083528,-0.07029514909540929,0.012722284019876878,0.10985314617486375,-1.5057226760612616,
61,1.0,8.0,0.09460685375533956,-0.0177015732730961,-0.0877524535873975,0.014119586846703516,0.4624961218101098,-1.4526303212808889,0.07707707707707707
62,1.0,8.0,-0.016797990467462,-0.010055843905602588,-0.08857065515270571,0.020737809118452716,0.26003192707135836,-1.4248763316598794,
63,1.0,8.0,-0.017039073270760957,0.052849718423607056,-0.09257858198329852,0.014231481301800561,0.15673008632192742,-1.318374613726022,
64,1.0,8.0,0.09460685375533956,-0.029205375000035547,-0.07964060368140434,0.020737809118452716,0.38307314310269447,-1.2951984852146052,
65,1.0,8.0,0.08297474135398702,-0.0242866808035284,-0.0662091608992185,-0.09612233285521055,0.29424458549510846,-1.2429928240381551,
66,1.0,8.0,0.024800332567322683,0.043942843007154564,-0.08305365872427267,-0.01153436970938726,0.3179553283495862,-1.2196861976894116,
67,1.0,8.0,-0.021698508707115274,0.045371005003855935,-0.07768306179229992,0.023312046580495793,0.3167594226502375,-1.1979339588790046,
68,1.0,8.0,0.018889698302028135,-0.028769223886822307,-0.09257858198329852,0.010807575911142758,0.9115845524433311,-1.1728246961534725,
69,1.0,36.0,0.004680373566309376,-0.032379781189240495,-0.071292636682074,0.0461828909617564,0.7990373865604296,-1.1601145834287259,0.08208208208208208
70,1.0,8.0,0.06829315869121266,-0.023444617835213052,-0.04865848293340154,0.010333820610733041,0.027156922967648378,-1.1537637352149084,
71,1.0,8.0,0.03217028245383652,0.074405586990999,-0.09575615987390468,-0.06449492000001097,0.8201912336411757,-1.079290550451136,
72,1.0,8.0,0.05988915881347226,-0.030317359680616593,-0.09869195052403588,-0.022623649162104215,0.21783195653957887,-1.048984887936188,
73,1.0,8.0,-0.012089127815731168,0.0360734699611826,-0.08896468765691001,-0.007447158213616106,0.43150951165514473,-0.9827608286901601,
