time,open,high,low,close
1476152400,23857.62,23877.29,23704.64,23704.64
1476156000,23705.01,23705.01,23514.05,23578.23
1476159600,23580.77,23591.46,23529.55,23540.25
1476163200,23539.41,23567.25,23441.07,23460.64
1476166800,23461.3,23517.59,23448.77,23498.71
1476170400,23497.79,23546.1,23489.67,23520.79
1476235200,23386.92,23444.67,23320.31,23381.35
1476238800,23378.29,23383.36,23284.75,23290.9
1476242400,23288.45,23303.65,23271.57,23291.92
1476246000,23294.21,23333.09,23277.97,23326.56
1476249600,23323.52,23329.51,23296.72,23319.73
1476253200,23319.3,23329.79,23267.63,23312.45
1476256800,23313.26,23373.03,23310.07,23366.54
1476321600,23300.38,23347.97,23158.12,23164.27
1476325200,23166.52,23180.53,23049.07,23120.17
1476328800,23116.82,23158.71,23093.39,23144.06
1476332400,23147.06,23148.56,23114.43,23115.5
1476336000,23113.55,23130.03,23080.18,23110.84
1476339600,23111.63,23114.05,23027.69,23046.76
1476343200,23049.21,23077.59,23006.12,23013.12
1476408000,23119.96,23232.01,23087.14,23125.01
1476411600,23127.97,23189.54,23105.75,23163.42
1476415200,23162.97,23171.12,23136.2,23163.8
1476418800,23169.08,23195.62,23162.81,23165.53
1476422400,23168.5,23188.64,23146.13,23181.59
1476426000,23183.86,23300.73,23170.89,23294.36
1476429600,23293.75,23318.36,23240.52,23261.25
1476667200,23164.54,23177.19,22978.01,23020.04
1476670800,23022.29,23109.8,23014.95,23071.92
1476674400,23071.16,23140.82,23065.37,23134.75
1476678000,23136.67,23143.76,23088.7,23105.27
1476681600,23103.22,23110.41,23015.22,23021.42
1476685200,23022.52,23062.75,23012.35,23012.35
1476688800,23010.86,23050,22987.19,23043.85
1476753600,23130.2,23307.09,23130.2,23272.04
1476757200,23272.05,23307.89,23231.64,23251.72
1476760800,23251.83,23251.83,23198.34,23239.97
1476764400,23240.35,23272.5,23237.51,23245.69
1476768000,23244.5,23392.25,23235.34,23379.72
1476771600,23380.13,23401.74,23325.94,23376.62
1476775200,23377.29,23402.89,23352.25,23388.37
1476840000,23393.8,23445.56,23338.26,23393.23
1476843600,23393.63,23393.63,23331.69,23366.7
1476847200,23366.49,23374.55,23351.25,23365.33
1476850800,23360.28,23368.84,23332.56,23334.78
1476854400,23334.9,23373.29,23325.17,23363.72
1476858000,23364.87,23367.32,23263.1,23279.78
1476861600,23276.81,23286.01,23234.67,23273.74
1476926400,23412.68,23500.82,23381.65,23442.76
1476930000,23441.36,23462.33,23404.52,23458.32
1476933600,23460.97,23485.01,23445.35,23466.44
1476937200,23463.97,23466.69,23440.4,23452.2
1476940800,23451.1,23455.32,23392.64,23405.9
1476944400,23405.59,23428.83,23360.55,23364
1476948000,23368.01,23401.84,23364.77,23382.39
1477272000,23431.63,23431.63,23235.61,23320.97
1477275600,23324.65,23509.56,23320.97,23486.19
1477279200,23483.99,23491.05,23436.75,23446.92
1477282800,23444.56,23452.64,23432.81,23438.81
1477286400,23440.68,23492.98,23435.15,23469.21
1477290000,23470,23604.54,23457.18,23593.19
1477293600,23594.06,23620.09,23569.67,23588.62
1477358400,23581.69,23590.53,23506.64,23580.21
1477362000,23582.66,23582.66,23532.88,23561.33
1477365600,23566.44,23582.87,23548.2,23575.31
1477369200,23570.19,23581.38,23552.77,23569.87
1477372800,23571.78,23608.65,23553.05,23588.15
1477376400,23588.72,23606.91,23554.11,23600.74
1477380000,23598.5,23631.34,23581.13,23593.88
1477444800,23396.14,23418.95,23340.14,23404.01
1477448400,23408.09,23464.03,23364.99,23373.77
1477452000,23374.22,23406.67,23357.24,23402.69
1477455600,23404.85,23414.23,23373.89,23400.41
1477459200,23400.23,23411.89,23351.43,23352.91
1477462800,23353.27,23383.9,23319.59,23334.28
1477466400,23334.36,23344.42,23310.23,23330.59
1477531200,23347.19,23352.62,23085.84,23108.76
1477534800,23109.5,23124.79,23031.53,23031.72
1477538400,23028.36,23067.02,23002.53,23056.62
1477542000,23060,23064.45,23029.04,23038.46
1477545600,23036.42,23105.19,23035.8,23058.42
1477549200,23061.38,23112.63,23052.46,23075.12
1477552800,23075.24,23129.31,23054.3,23124.71
1477617600,23088.83,23157.73,23042.98,23120.59
1477621200,23128.9,23137.53,23030.3,23047.11
1477624800,23052.11,23053.34,23007.66,23033.69
1477628400,23027.27,23044.82,23007.19,23007.19
1477632000,23023.85,23023.85,22935.63,22937.85
1477635600,22960.69,22960.69,22847.73,22854.88
1477639200,22865.02,22955.2,22855.96,22953.71
1477876800,22845.82,22950.03,22775.29,22935.87
1477880400,22935.41,23045.53,22925.7,23008.52
1477884000,23010.37,23013.22,22970.53,22984.41
1477887600,22987.18,23024.53,22982.28,23019.44
1477891200,23020.25,23029.23,22968.52,23017.3
1477894800,23014.38,23017.53,22973.02,22980.48
1477898400,22977.45,23004.8,22925.18,22940.87
1477963200,23015.06,23242.49,23015.06,23172.23
1477966800,23173.75,23264.79,23173.25,23241.33
1477970400,23241.22,23268.05,23179.82,23195.76
1477974000,23189.3,23208.97,23180.29,23197.49
1477977600,23199.34,23231.79,23182.58,23203.14
1477981200,23199.02,23235.95,23187.32,23229.58
1477984800,23232.03,23237.56,23160.78,23181.61
1478049600,22946.06,22956.85,22829.87,22842.58
1478053200,22843.04,22867.19,22803.62,22823.34
1478056800,22823.99,22849.66,22811.33,22837.88
1478060400,22834.48,22842.3,22811.97,22816.36
1478064000,22815.81,22847.39,22801.42,22830.88
1478067600,22828.85,22843.97,22785.35,22823.22
1478071200,22822.8,22830.19,22807.82,22819.52
1478136000,22708.55,22855.01,22708.55,22782.84
1478139600,22779.19,22799.52,22688.53,22716.14
1478143200,22717.4,22792.62,22705.31,22782.21
1478146800,22780.6,22803.38,22764.86,22772.41
1478150400,22769.95,22837.77,22760.07,22789.07
1478154000,22789.28,22793.49,22746.39,22746.58
1478157600,22743.66,22753.2,22703.22,22727.09
1478222400,22611.54,22771.61,22587.59,22737.67
1478226000,22737.41,22748.6,22655.42,22679.94
1478229600,22678.27,22694.4,22664.29,22675.62
1478233200,22683.62,22683.62,22656.96,22658.88
1478236800,22658.51,22680.47,22642.93,22661.23
1478240400,22659.19,22710.06,22658.65,22684
1478244000,22681.18,22700.8,22664.74,22675.66
1478481600,22682.71,22772.49,22623.84,22733.07
1478485200,22732.95,22785.94,22728.72,22748.76
1478488800,22753.58,22789.83,22738.44,22746.47
1478492400,22759,22812.7,22747.98,22795.99
1478496000,22795.44,22802.35,22762.85,22779.56
1478499600,22776.38,22867.24,22752.05,22845.58
1478503200,22842.21,22851.39,22810.77,22816.11
1478568000,22981.91,22996.97,22843.1,22845.09
1478571600,22844.72,22873.79,22820.39,22844.71
1478575200,22844.69,22891.31,22840.43,22883.42
1478578800,22884.96,22893.19,22870.4,22882.43
1478582400,22886.07,22887.89,22827.15,22872.33
1478586000,22872.39,22886.28,22847.96,22872.46
1478589600,22871.58,22902.98,22861.99,22878.31
1478654400,23048.32,23048.32,22410.56,22499.39
1478658000,22500.27,22537.55,22279.39,22321.07
1478661600,22321.09,22331.86,22039.05,22262.74
1478665200,22228.41,22228.41,21957.71,22066.01
1478668800,22066.39,22320.69,22062.28,22285.43
1478672400,22285.46,22374.27,22145.39,22340.89
1478676000,22340.72,22463.87,22322.76,22462.8
1478740800,22848.74,22918.34,22779.8,22830.94
1478744400,22830.29,22883.92,22777.51,22871.64
1478748000,22869.59,22874.44,22827.61,22830.68
1478751600,22827.37,22885.75,22821.34,22874.66
1478755200,22873.86,22911.08,22860.23,22862.37
1478758800,22863.23,22893.32,22859.7,22889.5
1478762400,22887.73,22911.9,22844.17,22863.2
1478827200,22622.46,22673.31,22442.75,22514.74
1478830800,22516.59,22523.32,22467.67,22476.05
1478834400,22475.76,22612.05,22470.11,22599.91
1478838000,22594.92,22650.06,22592.66,22605.19
1478841600,22603.54,22616.01,22523.9,22575.36
1478845200,22575.93,22603.07,22502.82,22514.94
1478848800,22514.9,22526.35,22479.57,22498.66
1479086400,22344.23,22344.23,22118.87,22209.26
1479090000,22208.69,22359.01,22162.38,22297.54
1479093600,22296.34,22309.72,22256.85,22267.2
1479097200,22273.86,22283.35,22233.92,22246.65
1479100800,22243.77,22279.27,22182.66,22200.21
1479104400,22197.71,22234.75,22190.7,22218.97
1479108000,22221.33,22261.06,22202.69,22229.93
1479172800,22270.9,22411.12,22269.29,22317.77
1479176400,22312.26,22333.07,22254.09,22321.17
1479180000,22321.45,22324.3,22272.34,22314.62
1479183600,22316.97,22337.34,22294.12,22317.52
1479187200,22317.15,22343.64,22283.43,22316.49
1479190800,22316.98,22319.47,22264.35,22293.94
1479194400,22288.86,22356.47,22283.29,22352.27
1479259200,22439.98,22499.39,22370.68,22412.84
1479262800,22414.26,22449.94,22404.56,22445.8
1479266400,22442.46,22472.81,22442.46,22461.01
1479270000,22463.31,22475.27,22425.24,22441.62
1479273600,22441.79,22470.55,22437.97,22448.81
1479277200,22449.18,22475.14,22436.89,22461.97
1479280800,22461.51,22463.88,22328.9,22328.9
1479345600,22170.07,22367.47,22114.02,22307.15
1479349200,22306.33,22341.36,22233.33,22251.06
1479352800,22250.69,22290.51,22243.98,22253.34
1479356400,22252.06,22270.95,22224.5,22258.33
1479360000,22259.13,22282.17,22237.58,22252.4
1479363600,22254.5,22305.84,22173.93,22203.64
1479367200,22204.59,22222.63,22181.83,22222.63
1479432000,22239.23,22304.33,22146.88,22297.17
1479435600,22296.74,22353.92,22285.62,22310.06
1479439200,22310.42,22321.34,22298.14,22318.66
1479442800,22313.1,22323.14,22290.03,22293.11
1479446400,22293.87,22308.5,22240.19,22266.44
1479450000,22266.25,22346.9,22258.73,22338.5
1479453600,22341.67,22374.36,22331.32,22362.27
1479691200,22313.04,22475.78,22227.8,22470.92
1479694800,22469.33,22480.75,22414.76,22417.64
1479698400,22419.29,22431.09,22392.12,22401.67
1479702000,22405,22405.47,22347.93,22353.44
1479705600,22353.71,22371.78,22302.03,22327.82
1479709200,22325.75,22377.75,22309.42,22370.73
1479712800,22371.72,22407.65,22359.65,22387.28
1479777600,22491.71,22649.79,22484.6,22621.81
1479781200,22620.69,22673.28,22615.3,22660.33
1479784800,22662.38,22677.02,22642.11,22646.38
1479788400,22648.37,22671.29,22646.64,22652.76
1479792000,22653.69,22677.77,22641.31,22657.45
1479795600,22656.46,22713.38,22628.97,22691.04
1479799200,22688.61,22719.42,22677.52,22704.9
1479864000,22702.41,22804.26,22674.91,22782.3
1479867600,22782.33,22789.17,22707.64,22731.25
1479871200,22735.06,22781.8,22720.16,22763.52
1479874800,22759.06,22762.13,22729.68,22740.42
1479878400,22739.48,22753.2,22689.29,22695
1479882000,22697.97,22710.99,22640.95,22689.82
1479885600,22692.38,22705.88,22673.55,22691.88
1479950400,22574.82,22608.33,22487.54,22535.51
1479954000,22534.39,22621.57,22521.09,22619.17
1479957600,22620.35,22625.67,22587.22,22597.88
1479961200,22605.03,22609.78,22586,22605.39
1479964800,22606.35,22647.38,22590.57,22602
1479968400,22604.45,22625.98,22591.92,22606.25
1479972000,22607.39,22635.75,22600.71,22628.05
1480036800,22609.22,22764.34,22589.53,22667.29
1480040400,22667.46,22711.59,22643.66,22702.38
1480044000,22702.28,22719.11,22683.45,22690.49
1480047600,22684.3,22693.89,22664.08,22683.02
1480051200,22683.59,22724.76,22670.97,22711.18
1480054800,22712.69,22762.96,22703.88,22761.03
1480058400,22761.44,22763.46,22724.06,22733.86
1480296000,22738.94,22909.89,22738.94,22827.71
1480299600,22828.12,22890.88,22822.06,22885.52
1480303200,22885.64,22899.67,22865.79,22886.21
1480306800,22880.08,22918.14,22872.72,22907.53
1480310400,22906.38,22937.36,22900.46,22904.97
1480314000,22905.98,22964.02,22905.98,22930.21
1480317600,22928.56,22938.52,22871.85,22876.62
1480382400,22739.51,22868.14,22724.59,22831.87
1480386000,22823.49,22849.83,22798.44,22827.19
1480389600,22822.16,22830.95,22793.4,22819.54
1480393200,22816.68,22826.88,22793.75,22814.24
1480396800,22799.16,22817.6,22752.88,22784.59
1480400400,22772.43,22809.66,22763.35,22809.66
1480404000,22793.8,22816.13,22750.68,22752.5
1480468800,22842.36,22889.47,22766.72,22825.13
1480472400,22826.03,22841.18,22768.13,22774.44
1480476000,22774.02,22783.48,22755,22766.58
1480479600,22767.66,22817.44,22762.46,22814.94
1480483200,22813.92,22821.53,22785.53,22804.09
1480486800,22802.33,22838.06,22792.67,22825.14
1480490400,22824.24,22829.03,22772.78,22782.19
1480555200,22948.65,22960.31,22855.2,22955.54
1480558800,22954.05,23012.28,22954.05,22980.15
1480562400,22980.84,22984.86,22931.01,22946.07
1480566000,22938.69,22950.97,22894.76,22916
1480569600,22916.05,22933.43,22893.57,22905.31
1480573200,22902.86,22908.73,22867.68,22874.56
1480576800,22877.37,22880.25,22837.53,22874.91
1480641600,22736.84,22756.01,22654.18,22687.39
1480645200,22686.1,22686.1,22631.32,22666.09
1480648800,22664.92,22676.41,22602.56,22612.6
1480652400,22616.11,22617.81,22564.45,22590.31
1480656000,22592.18,22635.15,22583.73,22588.2
1480659600,22589.08,22624.78,22583.65,22597.99
1480663200,22602.1,22610.42,22559.2,22581.25
1480900800,22580.75,22628.13,22464.04,22589.77
1480904400,22589.24,22609.89,22498.08,22517.68
1480908000,22517.26,22524.3,22481.42,22484.24
1480911600,22494.45,22514.17,22477.54,22505.78
1480915200,22503.77,22515.67,22406.4,22416.25
1480918800,22414.24,22460.85,22375.28,22443.03
1480922400,22445.17,22501.45,22441.35,22480.59
1480987200,22694.27,22746.67,22625.32,22655.28
1480990800,22654.92,22699.59,22647.97,22669.98
1480994400,22674.23,22707.75,22664.36,22691.2
1480998000,22692.03,22699.96,22673.19,22677.85
1481001600,22677.26,22685.35,22642.97,22670.25
1481005200,22669.19,22677.87,22638.45,22655.71
1481008800,22656.26,22702.5,22642.11,22680.37
1481073600,22805.13,22843.01,22709.95,22710.82
1481077200,22712.36,22750.17,22708.88,22744.27
1481080800,22743.69,22759.92,22728.13,22754.26
1481084400,22751.98,22756.59,22726.39,22739.61
1481088000,22737.77,22779.81,22726.4,22732.63
1481091600,22732.18,22791.2,22727.92,22787.63
1481095200,22785.02,22809.55,22777.6,22793.88
1481160000,23027.38,23076.24,22972.39,22991.71
1481163600,22996.16,23008.45,22906.76,22938.6
1481167200,22938.08,22972.27,22928.36,22948.38
1481170800,22944.35,22950.44,22922.47,22945.18
1481174400,22945.17,22957.68,22907.91,22914.36
1481178000,22913.15,22929.27,22867.12,22888.51
1481181600,22889.63,22893.6,22817.32,22846.22
1481246400,22765.84,22791.68,22689.83,22762.27
1481250000,22760.89,22780.89,22717.82,22774.31
1481253600,22774.2,22813.85,22757.98,22797.94
1481257200,22799.6,22810.87,22776.77,22780.63
1481260800,22781.4,22792.38,22739.86,22745.49
1481264400,22744.48,22761.83,22694.36,22701.29
1481268000,22700.86,22755.69,22660.22,22734.9
1481505600,22860.27,22863.61,22673.1,22697.73
1481509200,22698.49,22725.15,22496.9,22518.99
1481512800,22519.28,22542.2,22484.45,22503.03
1481516400,22495.29,22527.49,22495.29,22516.42
1481520000,22515.8,22571.42,22485.72,22555.81
1481523600,22556.07,22567.23,22406.33,22407.52
1481527200,22409.94,22436.53,22375.58,22410.16
1481592000,22407.62,22458.42,22340.21,22374.05
1481595600,22376.21,22397.58,22292.65,22314.13
1481599200,22315.27,22356.86,22312.74,22351.43
1481602800,22350.58,22356.88,22320.86,22340.35
1481606400,22342.23,22451.87,22341.27,22420.71
1481610000,22420.4,22436.57,22374.53,22392.4
1481613600,22393.27,22418.9,22387.38,22410.4
1481678400,22596.71,22627.6,22547.02,22586.52
1481682000,22587.21,22594.64,22503.95,22540.81
1481685600,22540.45,22586.22,22537.92,22581.41
1481689200,22576.78,22583.51,22553.55,22576.45
1481692800,22577.96,22602.78,22539.5,22546.33
1481696400,22547.79,22552.01,22461.69,22464.85
1481700000,22466.57,22506.96,22458.67,22480.14
1481764800,22257.71,22305.07,22101.46,22109.8
1481768400,22107.59,22137.19,22024.64,22106.63
1481772000,22106.77,22110.08,22051.27,22076.14
1481775600,22088.06,22088.06,22052.94,22054.25
1481779200,22056.25,22069.02,22015.07,22020.28
1481782800,22021.63,22072.16,22000.9,22036.29
1481786400,22035.01,22059.03,21999.3,22055.55
1481851200,21996.38,22119.93,21965.68,22102.76
1481854800,22105.26,22155.14,22052.24,22067.16
1481858400,22064.37,22087.59,22054.94,22076.96
