,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
1389,HK.800000,2019-05-03 10:30:00,29818.48,29715.09,29840.02,29678.86,0.0,0.0,0,21492822119.733,-0.7650568491105789,29944.18
1390,HK.800000,2019-05-03 11:30:00,29713.29,29916.08,29917.23,29711.44,0.0,0.0,0,10360193476.307,0.6763903457805499,29715.09
1391,HK.800000,2019-05-03 12:00:00,29915.71,29937.73,29946.43,29914.29,0.0,0.0,0,3439344960.354,0.07236910718248453,29916.08
1392,HK.800000,2019-05-03 14:00:00,29937.73,30029.77,30066.75,29937.73,0.0,0.0,0,10605800256.993,0.30743813909738943,29937.73
1393,HK.800000,2019-05-03 15:00:00,30032.75,30031.73,30047.96,30001.21,0.0,0.0,0,6992676842.891,0.006526856516047665,30029.77
1394,HK.800000,2019-05-03 16:00:00,30029.51,30081.55,30081.55,30016.0,0.0,0.0,0,13826609982.042,0.1658912090645451,30031.73
1395,HK.800000,2019-05-06 10:30:00,29342.38,29175.58,29384.01,29172.94,0.0,0.0,0,43965303083.307,-3.011713159727466,30081.55
1396,HK.800000,2019-05-06 11:30:00,29177.3,29086.68,29177.3,28956.47,0.0,0.0,0,28160991542.005,-0.30470688157699505,29175.58
1397,HK.800000,2019-05-06 12:00:00,29088.81,29086.74,29115.71,29047.81,0.0,0.0,0,6867424283.097,0.00020627998795775136,29086.68
1398,HK.800000,2019-05-06 14:00:00,29086.74,29123.12,29174.03,29086.74,0.0,0.0,0,17600380619.164,0.12507417469265164,29086.74
1399,HK.800000,2019-05-06 15:00:00,29123.12,29091.51,29150.98,29079.26,0.0,0.0,0,15601897146.794,-0.10853919497636443,29123.12
1400,HK.800000,2019-05-06 16:00:00,29087.96,29209.82,29209.82,29059.61,0.0,0.0,0,25063096894.664,0.40668222447030533,29091.51
1401,HK.800000,2019-05-07 10:30:00,29313.58,29468.98,29480.04,29313.58,0.0,0.0,0,28866564123.814,0.8872358679375629,29209.82
1402,HK.800000,2019-05-07 11:30:00,29467.64,29271.78,29473.09,29260.16,0.0,0.0,0,15566183788.897,-0.6691782341974535,29468.98
1403,HK.800000,2019-05-07 12:00:00,29274.35,29257.23,29302.03,29233.55,0.0,0.0,0,4801510927.012,-0.049706577461293,29271.78
1404,HK.800000,2019-05-07 14:00:00,29257.23,29200.55,29258.76,29156.45,0.0,0.0,0,12741515658.48,-0.19372989172249147,29257.23
1405,HK.800000,2019-05-07 15:00:00,29200.28,29336.99,29419.93,29165.49,0.0,0.0,0,15773636014.11,0.467251473003085,29200.55
1406,HK.800000,2019-05-07 16:00:00,29337.05,29363.02,29383.38,29314.85,0.0,0.0,0,19159050012.55,0.08872757566471146,29336.99
1407,HK.800000,2019-05-08 10:30:00,28987.09,29147.88,29153.04,28963.83,0.0,0.0,0,32709275496.958,-0.7326903022917923,29363.02
1408,HK.800000,2019-05-08 11:30:00,29143.41,29188.65,29252.0,29119.02,0.0,0.0,0,18677237943.035,0.13987295130898175,29147.88
1409,HK.800000,2019-05-08 12:00:00,29190.07,29156.23,29206.76,29128.09,0.0,0.0,0,5794778270.976,-0.1110705702387808,29188.65
1410,HK.800000,2019-05-08 14:00:00,29156.23,29079.79,29192.32,29074.81,0.0,0.0,0,12613565635.314,-0.26217381328106787,29156.23
1411,HK.800000,2019-05-08 15:00:00,29082.97,29049.51,29107.11,28984.78,0.0,0.0,0,14955239504.698,-0.10412729940622843,29079.79
1412,HK.800000,2019-05-08 16:00:00,29048.01,29003.2,29049.46,28945.91,0.0,0.0,0,22915867377.813,-0.1594174910351248,29049.51
1413,HK.800000,2019-05-09 10:30:00,28839.35,28599.03,28891.11,28581.7,0.0,0.0,0,33008844711.807,-1.3935358856953781,29003.2
1414,HK.800000,2019-05-09 11:30:00,28598.82,28458.62,28598.82,28441.79,0.0,0.0,0,23064024360.416,-0.4909607074086074,28599.03
1415,HK.800000,2019-05-09 12:00:00,28456.69,28437.64,28482.81,28432.48,0.0,0.0,0,6726928977.891,-0.07372107291217762,28458.62
1416,HK.800000,2019-05-09 14:00:00,28437.64,28503.06,28601.97,28431.23,0.0,0.0,0,17833297824.417,0.2300472191082027,28437.64
1417,HK.800000,2019-05-09 15:00:00,28504.59,28375.64,28508.03,28339.57,0.0,0.0,0,14523251789.775,-0.4470397213492232,28503.06
1418,HK.800000,2019-05-09 16:00:00,28375.22,28311.07,28397.51,28281.98,0.0,0.0,0,26645704407.033,-0.22755433886248808,28375.64
1419,HK.800000,2019-05-10 10:30:00,28462.34,28704.96,28833.45,28462.34,0.0,0.0,0,39797640735.472,1.3912932291149696,28311.07
1420,HK.800000,2019-05-10 11:30:00,28699.71,28589.85,28700.1,28400.99,0.0,0.0,0,22182520395.538,-0.40101083575800345,28704.96
1421,HK.800000,2019-05-10 12:00:00,28590.25,28492.87,28647.73,28482.05,0.0,0.0,0,5720230680.906,-0.33921129351850243,28589.85
1422,HK.800000,2019-05-10 14:00:00,28492.87,28640.92,28650.97,28203.22,0.0,0.0,0,21101903119.725,0.5196036762881355,28492.87
1423,HK.800000,2019-05-10 15:00:00,28640.53,28552.69,28707.33,28546.49,0.0,0.0,0,14865245677.388,-0.3080557468126009,28640.92
1424,HK.800000,2019-05-10 16:00:00,28554.93,28550.24,28636.59,28550.24,0.0,0.0,0,21366832394.009,-0.008580627604604294,28552.69
1425,HK.800000,2019-05-14 10:30:00,27951.12,28193.42,28198.29,27925.62,0.0,0.0,0,45958983976.229,-1.2497968493434848,28550.24
1426,HK.800000,2019-05-14 11:30:00,28196.16,28119.38,28205.96,28085.12,0.0,0.0,0,19171549972.074,-0.26261446819859824,28193.42
1427,HK.800000,2019-05-14 12:00:00,28118.46,28097.76,28126.51,28091.19,0.0,0.0,0,6593739493.794,-0.07688647473736127,28119.38
1428,HK.800000,2019-05-14 14:00:00,28097.76,28114.83,28175.52,28096.92,0.0,0.0,0,13289404714.743,0.060752173838780565,28097.76
1429,HK.800000,2019-05-14 15:00:00,28123.32,28049.03,28139.73,28037.61,0.0,0.0,0,15049691896.585,-0.23404018448627611,28114.83
1430,HK.800000,2019-05-14 16:00:00,28048.07,28122.02,28156.64,28029.46,0.0,0.0,0,24473994084.251,0.2602229025388814,28049.03
1431,HK.800000,2019-05-15 10:30:00,28171.32,28252.38,28383.07,28171.32,0.0,0.0,0,33101501777.347,0.4635513380617772,28122.02
1432,HK.800000,2019-05-15 11:30:00,28253.01,28319.12,28346.99,28219.51,0.0,0.0,0,13578662670.694,0.23622788593385038,28252.38
1433,HK.800000,2019-05-15 12:00:00,28319.11,28326.32,28333.58,28297.72,0.0,0.0,0,3790885535.762,0.025424518840983505,28319.12
1434,HK.800000,2019-05-15 14:00:00,28326.32,28407.15,28421.73,28313.31,0.0,0.0,0,12326980389.938,0.28535298619800153,28326.32
1435,HK.800000,2019-05-15 15:00:00,28407.78,28396.16,28441.49,28363.95,0.0,0.0,0,11891247728.209,-0.038687443126120005,28407.15
