time,open,high,low,close,Plot,Plot,MACD,Signal
1392693600,22483.5,22565.7,22476.1,22537.3,-96.08138106422848,-30.05784967015831,-96.08138106422848,-30.05784967015831
1392697200,22545.8,22587.9,22522.2,22527.9,-93.9888058786346,-31.833709564838205,-93.9888058786346,-31.833709564838205
1392700800,22526.7,22551.9,22491.1,22507.5,-90.54162195868412,-33.464484909111704,-90.54162195868412,-33.464484909111704
1392704400,22507.3,22538.7,22500.4,22523,-87.67278116747912,-34.97027091628858,-87.67278116747912,-34.97027091628858
1392708000,22523.1,22589.8,22512.5,22588.1,-87.59433782033375,-36.43205055251205,-87.59433782033375,-36.43205055251205
1392772800,22600.6,22651.9,22555.5,22556.9,-85.35196333153726,-37.79093701859608,-85.35196333153726,-37.79093701859608
1392776400,22556.2,22595.5,22534.2,22585.1,-84.10084168456888,-39.07732325931755,-84.10084168456888,-39.07732325931755
1392780000,22586.9,22597.9,22566.5,22587.5,-82.47995763193103,-40.28295199189015,-82.47995763193103,-40.28295199189015
1392783600,22588,22708.4,22588,22688.4,-85.12225886920714,-41.52848829403784,-85.12225886920714,-41.52848829403784
1392787200,22689.2,22691.9,22621.5,22645.9,-84.60757073278,-42.725129472891794,-84.60757073278,-42.725129472891794
1392790800,22645.7,22679.7,22635.7,22673.4,-84.74589288375137,-43.892372900971225,-84.74589288375137,-43.892372900971225
1392794400,22670.1,22689.4,22626.5,22667.8,-83.88825016808914,-45.0033694917245,-83.88825016808914,-45.0033694917245
1392859200,22595.9,22742.7,22297.9,22321.8,-66.48901979039874,-45.600193111132114,-66.48901979039874,-45.600193111132114
1392862800,22325.7,22444.8,22314.4,22418.6,-56.148566163377836,-45.8932034736945,-56.148566163377836,-45.8932034736945
1392866400,22418.2,22430.8,22391.4,22412.8,-46.93644183734432,-45.92218231712921,-46.93644183734432,-45.92218231712921
1392870000,22415.3,22439.1,22400.8,22414.4,-39.06821861360004,-45.731794436475624,-39.06821861360004,-45.731794436475624
1392873600,22413.1,22425.9,22380.1,22382.1,-30.80040363100852,-45.317033580768204,-30.80040363100852,-45.317033580768204
1392877200,22381.5,22422.2,22365.2,22412.6,-25.177190484508174,-44.75759349476098,-25.177190484508174,-44.75759349476098
1392880800,22414.2,22417.9,22372.9,22391.5,-19.38315290242099,-44.052747922751536,-19.38315290242099,-44.052747922751536
1392945600,22617.6,22633.3,22506.8,22522,-20.50456620363184,-43.3986317638871,-20.50456620363184,-43.3986317638871
1392949200,22524.2,22566,22491.7,22518.6,-21.09392108316024,-42.77905646720025,-21.09392108316024,-42.77905646720025
1392952800,22517.1,22517.5,22471.8,22486.2,-19.90205704678374,-42.14358426107757,-19.90205704678374,-42.14358426107757
1392956400,22498.2,22530.5,22493.3,22525.4,-20.570050319107395,-41.54431942935618,-20.570050319107395,-41.54431942935618
1392960000,22523.9,22529.9,22442.4,22470.2,-18.393237661395688,-40.90123382469061,-18.393237661395688,-40.90123382469061
1392963600,22471.8,22528.5,22458.7,22494.3,-17.56901520939209,-40.25311664093231,-17.56901520939209,-40.25311664093231
1392967200,22494.8,22581.9,22489.6,22574.5,-20.452790803679818,-39.70310758989752,-20.452790803679818,-39.70310758989752
1393204800,22576.4,22576.4,22303.5,22340.9,-11.84703727123997,-38.9293278588237,-11.84703727123997,-38.9293278588237
1393208400,22340.2,22357.1,22289.1,22304.1,-2.995709483977407,-37.93117179285574,-2.995709483977407,-37.93117179285574
1393212000,22301.5,22321.2,22262.8,22279,5.441686892005237,-36.72637016272071,5.441686892005237,-36.72637016272071
1393215600,22280.9,22298.5,22260.1,22292.7,11.675757982480718,-35.38186660313178,11.675757982480718,-35.38186660313178
1393219200,22292.3,22330.8,22271.2,22304.4,16.144633388688817,-33.95057493669232,16.144633388688817,-33.95057493669232
1393222800,22302.7,22342.5,22298.4,22335.2,18.246908335884655,-32.500644845787406,18.246908335884655,-32.500644845787406
1393226400,22334.7,22400.2,22330.1,22400.2,16.811823453666875,-31.130854059691455,16.811823453666875,-31.130854059691455
1393291200,22498.4,22500.6,22429.1,22455.1,12.957347827868944,-29.906181785037,12.957347827868944,-29.906181785037
1393294800,22451.6,22490.9,22420.8,22486.9,8.220635883808427,-28.84710351645796,8.220635883808427,-28.84710351645796
1393298400,22485.2,22518.8,22473,22489.5,4.150467392799328,-27.930504324534144,4.150467392799328,-27.930504324534144
1393302000,22500.8,22509,22484.1,22496.9,0.43877079392404994,-27.142468904576972,0.43877079392404994,-27.142468904576972
1393305600,22497,22505.1,22407.9,22426,0.670878447839641,-26.3698759225654,0.670878447839641,-26.3698759225654
1393309200,22429,22429,22276.5,22286,7.3260012865684985,-25.43387933342279,7.3260012865684985,-25.43387933342279
1393312800,22285.9,22338.2,22259.8,22319.8,11.154980072198668,-24.417522127711084,11.154980072198668,-24.417522127711084
1393377600,22297.6,22418,22258.9,22383.5,11.254311597629567,-23.42663785756273,11.254311597629567,-23.42663785756273
1393381200,22380.8,22390.2,22343.5,22356.9,12.470534388656233,-22.42949418405665,12.470534388656233,-22.42949418405665
1393384800,22354.3,22381,22352.2,22358.9,13.26978806711486,-21.437847454857444,13.26978806711486,-21.437847454857444
